Model no,Model,Test Images,False Positives,False Negatives,True Positives,Precision,Recall,F score
1,mobilenet-full-1.h5,1500,110,25,1475,0.9305993690851735,0.9833333333333333,0.9562398703403565
5,mobilenet-full-5.h5,1500,29,16,1484,0.9808327825512227,0.9893333333333333,0.9850647195486226
8,mobilenet-full-8.h5,1500,7,82,1418,0.9950877192982456,0.9453333333333334,0.9695726495726497
11,mobilenet-full-11.h5,1500,67,8,1492,0.9570237331622835,0.9946666666666667,0.9754821837201701
14,mobilenet-full-14.h5,1500,17,36,1464,0.9885212694125591,0.976,0.9822207312982221
18,mobilenet-full-18.h5,1500,19,21,1479,0.9873164218958611,0.986,0.9866577718478987
21,mobilenet-full-21.h5,1500,8,98,1402,0.9943262411347518,0.9346666666666666,0.9635738831615119
24,mobilenet-full-24.h5,1500,97,6,1494,0.9390320553111251,0.996,0.9666774506632159
27,mobilenet-full-27.h5,1500,41,8,1492,0.9732550554468362,0.9946666666666667,0.9838443785031322
30,mobilenet-full-30.h5,1500,36,13,1487,0.9763624425476034,0.9913333333333333,0.9837909361561362
33,mobilenet-full-33.h5,1500,69,5,1495,0.9558823529411765,0.9966666666666667,0.9758485639686685
36,mobilenet-full-36.h5,1500,17,27,1473,0.9885906040268456,0.982,0.9852842809364549
39,mobilenet-full-39.h5,1500,47,9,1491,0.9694408322496749,0.994,0.9815668202764977
42,mobilenet-full-42.h5,1500,31,11,1489,0.9796052631578948,0.9926666666666667,0.9860927152317881
45,mobilenet-full-45.h5,1500,20,19,1481,0.9866755496335776,0.9873333333333333,0.9870043318893701
48,mobilenet-full-48.h5,1500,7,57,1443,0.9951724137931034,0.962,0.9783050847457627
51,mobilenet-full-51.h5,1500,21,21,1479,0.986,0.986,0.986
55,mobilenet-full-55.h5,1500,15,18,1482,0.9899799599198397,0.988,0.988988988988989
58,mobilenet-full-58.h5,1500,14,29,1471,0.9905723905723905,0.9806666666666667,0.9855946398659966
61,mobilenet-full-61.h5,1500,21,10,1490,0.986101919258769,0.9933333333333333,0.9897044171371636
64,mobilenet-full-64.h5,1500,32,16,1484,0.978891820580475,0.9893333333333333,0.9840848806366048
68,mobilenet-full-68.h5,1500,19,13,1487,0.9873837981407703,0.9913333333333333,0.989354624085163
71,mobilenet-full-71.h5,1500,24,17,1483,0.9840743198407432,0.9886666666666667,0.986365147988028
74,mobilenet-full-74.h5,1500,20,13,1487,0.986728599867286,0.9913333333333333,0.9890256069171932
77,mobilenet-full-77.h5,1500,98,11,1489,0.9382482671707625,0.9926666666666667,0.9646906381600259
81,mobilenet-full-81.h5,1500,32,13,1487,0.9789335088874259,0.9913333333333333,0.9850944021199073
84,mobilenet-full-84.h5,1500,88,5,1495,0.9444093493367025,0.9966666666666667,0.9698345767109959
87,mobilenet-full-87.h5,1500,19,16,1484,0.9873586161011311,0.9893333333333333,0.9883449883449883
